x,y,z
-124.789856218,66.2936180309,837.216379227
-124.849064938,66.3482845233,837.230376845
-124.908513513,66.4029310607,837.244343718
-124.96820353,66.4575575082,837.258279784
-125.028136588,66.5121637298,837.27218498
-125.088314301,66.566749588,837.286059244
-125.148738294,66.6213149445,837.299902513
-125.209410207,66.6758596595,837.313714725
-125.270331694,66.7303835918,837.327495819
-125.331504421,66.7848865993,837.341245733
-125.39293007,66.8393685382,837.354964404
-125.454610335,66.8938292637,837.368651772
-125.516546925,66.9482686296,837.382307776
-125.578741564,67.0026864882,837.395932353
-125.64119599,67.0570826907,837.409525443
-125.703911954,67.1114570869,837.423086984
-125.766891225,67.165809525,837.436616917
-125.830135583,67.220139852,837.450115179
-125.893646826,67.2744479135,837.463581712
-125.957426765,67.3287335536,837.477016453
-126.021477228,67.3829966151,837.490419344
-126.085800058,67.437236939,837.503790324
-126.150397113,67.4914543653,837.517129332
-126.215270266,67.5456487321,837.530436309
-126.280421408,67.5998198763,837.543711195
-126.345852445,67.6539676332,837.556953931
-126.411565297,67.7080918364,837.570164458
-126.477561905,67.7621923181,837.583342715
-126.543844222,67.816268909,837.596488644
-126.61041422,67.870321438,837.609602185
-126.677273888,67.9243497326,837.622683281
-126.74442523,67.9783536186,837.635731871
-126.811870269,68.03233292,837.648747898
-126.879611045,68.0862874594,837.661731303
-126.947649615,68.1402170576,837.674682028
-127.015988054,68.1941215337,837.687600014
-127.084628454,68.2480007052,837.700485204
-127.153572925,68.3018543876,837.71333754
-127.222823598,68.3556823949,837.726156964
-127.292382618,68.4094845392,837.738943418
-127.362252151,68.4632606309,837.751696845
-127.432434382,68.5170104785,837.764417187
-127.502931514,68.5707338887,837.777104388
-127.573745768,68.6244306663,837.78975839
-127.644879386,68.6781006143,837.802379137
-127.716334629,68.7317435338,837.814966572
-127.788113777,68.7853592239,837.827520638
-127.860219131,68.8389474819,837.840041279
-127.93265301,68.8925081029,837.852528439
-128.005417756,68.9460408802,837.86498206
-128.078515727,68.9995456052,837.877402089
-128.151949307,69.0530220669,837.889788468
-128.225720897,69.1064700527,837.902141141
-128.299832919,69.1598893475,837.914460054
-128.374287818,69.2132797344,837.926745151
-128.44908806,69.2666409942,837.938996377
-128.524236131,69.3199729057,837.951213676
-128.599734541,69.3732752454,837.963396994
-128.67558582,69.4265477877,837.975546275
